No,Date,Pair,Position,P/L,Picture,Balance ($)
1,10/07/2025,MYX,Long,"-0,76",images/trade1.png,"109,24"
2,10/07/2025,MASA,Long,"0,4",images/trade2.png,"109,64"
3,10/07/2025,PORT3,Long,"-0,34",images/trade3.png,"109,30"
4,10/07/2025,LQTY,Long,"-1,15",images/trade4.png,"108,15"
5,10/07/2025,AIOT,Long,"0,92",images/trade5.png,"109,07"
6,11/07/2025,AAVE,Long,1,images/trade6.png,"110,07"
7,11/07/2025,MASA,Long,"3,2",images/trade7.png,"113,27"
8,,,Long,,,
9,,,Long,,,
10,,,Long,,,
11,,,Long,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,,,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,,,,,,
73,,,,,,
74,,,,,,
75,,,,,,
76,,,,,,
77,,,,,,
78,,,,,,
79,,,,,,
80,,,,,,
81,,,,,,
82,,,,,,
83,,,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,,,,,,
94,,,,,,
95,,,,,,
96,,,,,,
97,,,,,,
98,,,,,,
99,,,,,,
100,,,,,,
